name,rate,location,category,info_link,cover_link
肖申克的救赎,9.6,美国,悬疑,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
控方证人,9.6,美国,悬疑,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
怪诞小镇特别篇：松林之间,9.5,美国,悬疑,https://movie.douban.com/subject/26744258/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2324315416.jpg
十二怒汉,9.4,美国,悬疑,https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
十二怒汉,9.4,美国,悬疑,https://movie.douban.com/subject/10583098/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg
控方证人,9.4,美国,悬疑,https://movie.douban.com/subject/5294851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
疑犯追踪 试播集,9.4,美国,悬疑,https://movie.douban.com/subject/24700683/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1974739828.jpg
盗梦空间,9.3,美国,悬疑,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
星际穿越,9.1,美国,悬疑,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
两杆大烟枪,9.1,美国,悬疑,https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
小丘月圆,9.1,美国,悬疑,https://movie.douban.com/subject/1302752/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2334104591.jpg
"""The X Files""  Season 2, Episode 25: Anasazi",9.0,美国,悬疑,https://movie.douban.com/subject/2997258/,https://img3.doubanio.com/lpic/s4709641.jpg
蝙蝠侠：黑暗骑士,9.0,美国,悬疑,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
"""The X Files"" Season 2, Episode 5: Duane Barry",9.0,美国,悬疑,https://movie.douban.com/subject/2997236/,https://img3.doubanio.com/lpic/s2977060.jpg
新推理探案3,9.0,美国,悬疑,https://movie.douban.com/subject/2150270/,https://img1.doubanio.com/lpic/s25452929.jpg
夺命夏娃,9.0,美国,悬疑,https://movie.douban.com/subject/2045891/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1257593265.jpg
无间道,9.0,香港,悬疑,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg
新世纪福音战士剧场版：死与新生,9.2,日本,悬疑,https://movie.douban.com/subject/1455442/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250120322.jpg
空之境界 第五章 矛盾螺旋,9.3,日本,悬疑,https://movie.douban.com/subject/3187790/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194403556.jpg
命运石之门：横行跋扈的浪荡之徒,9.1,日本,悬疑,https://movie.douban.com/subject/10521690/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1432532161.jpg
空之境界 未来福音,9.1,日本,悬疑,https://movie.douban.com/subject/11499092/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2037135869.jpg
攻壳机动队SAC：笑面男,9.1,日本,悬疑,https://movie.douban.com/subject/2078804/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2207164758.jpg
空之境界 第七章 杀人考察（后）,9.0,日本,悬疑,https://movie.douban.com/subject/3399553/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2202703811.jpg
古畑任三郎完结篇 重生之死,9.0,日本,悬疑,https://movie.douban.com/subject/10558405/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155138409.jpg
古畑任三郎 最后之舞,9.0,日本,悬疑,https://movie.douban.com/subject/10558406/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155138955.jpg
控方证人,9.4,英国,悬疑,https://movie.douban.com/subject/5294851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
临终的侦探,9.4,英国,悬疑,https://movie.douban.com/subject/3676944/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174094938.jpg
盗梦空间,9.3,英国,悬疑,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
斑点带子案,9.2,英国,悬疑,https://movie.douban.com/subject/3231171/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1779190432.jpg
最后一案,9.2,英国,悬疑,https://movie.douban.com/subject/3603187/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2400689858.jpg
红发会,9.2,英国,悬疑,https://movie.douban.com/subject/3603181/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1776714388.jpg
诺伍德的建筑师,9.2,英国,悬疑,https://movie.douban.com/subject/3603169/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p578360813.jpg
住院的病人,9.2,英国,悬疑,https://movie.douban.com/subject/3603173/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p499779719.jpg
